Playlist Name;Playlist Id;Country Name
Argentina Top 50 ; 37i9dQZEVXbMMy2roB9myp;Argentina
Australia Top 50 ; 37i9dQZEVXbJPcfkRz0wJ0;Australia
Austria Top 50 ; 37i9dQZEVXbKNHh6NIXu36;Austria
Belgium Top 50 ; 37i9dQZEVXbJNSeeHswcKB;Belgium
Bolivia Top 50 ; 37i9dQZEVXbJqfMFK4d691;Bolivia
Brazil Top 50 ; 37i9dQZEVXbMXbN3EUUhlg;Brazil
Bulgaria Top 50 ; 37i9dQZEVXbNfM2w2mq1B8;Bulgaria
Canada Top 50 ; 37i9dQZEVXbKj23U1GF4IR;Canada
Chile Top 50 ; 37i9dQZEVXbL0GavIqMTeb;Chile
Colombia Top 50 ; 37i9dQZEVXbOa2lmxNORXQ;Colombia
Costa Rica Top 50 ; 37i9dQZEVXbMZAjGMynsQX;Costa Rica
Czech Republic Top 50 ; 37i9dQZEVXbIP3c3fqVrJY;Czech Republic
Denmark Top 50 ; 37i9dQZEVXbL3J0k32lWnN;Denmark
Dominican Republic Top 50 ; 37i9dQZEVXbKAbrMR8uuf7;Dominican Republic
Ecuador Top 50 ; 37i9dQZEVXbJlM6nvL1nD1;Ecuador
El Salvador Top 50 ; 37i9dQZEVXbLxoIml4MYkT;El Salvador
Estonia Top 50 ; 37i9dQZEVXbLesry2Qw2xS;Estonia
Finland Top 50 ; 37i9dQZEVXbMxcczTSoGwZ;Finland
France Top 50 ; 37i9dQZEVXbIPWwFssbupI;France
Germany Top 50 ; 37i9dQZEVXbJiZcmkrIHGU;Germany
Greece Top 50 ; 37i9dQZEVXbJqdarpmTJDL;Greece
Guatemala Top 50 ; 37i9dQZEVXbLy5tBFyQvd4;Guatemala
Honduras Top 50 ; 37i9dQZEVXbJp9wcIM9Eo5;Honduras
Hong Kong Top 50 ; 37i9dQZEVXbLwpL8TjsxOG;Hong Kong
Hungary Top 50 ; 37i9dQZEVXbNHwMxAkvmF8;Hungary
Iceland Top 50 ; 37i9dQZEVXbKMzVsSGQ49S;Iceland
India Top 50 ; 37i9dQZEVXbLZ52XmnySJg;India
Indonesia Top 50 ; 37i9dQZEVXbObFQZ3JLcXt;Indonesia
Ireland Top 50 ; 37i9dQZEVXbKM896FDX8L1;Ireland
Israel Top 50 ; 37i9dQZEVXbJ6IpvItkve3;Israel
Italy Top 50 ; 37i9dQZEVXbIQnj7RRhdSX;Italy
Japan Top 50 ; 37i9dQZEVXbKXQ4mDTEBXq;Japan
Latvia Top 50 ; 37i9dQZEVXbJWuzDrTxbKS;Latvia
Lithuania Top 50 ; 37i9dQZEVXbMx56Rdq5lwc;Lithuania
Luxembourg Top 50 ; 37i9dQZEVXbKGcyg6TFGx6;Luxembourg
Malaysia Top 50 ; 37i9dQZEVXbJlfUljuZExa;Malaysia
Mexico Top 50 ; 37i9dQZEVXbO3qyFxbkOE1;Mexico
Netherlands Top 50 ; 37i9dQZEVXbKCF6dqVpDkS;Netherlands
New Zealand Top 50 ; 37i9dQZEVXbM8SIrkERIYl;New Zealand
Nicaragua Top 50 ; 37i9dQZEVXbISk8kxnzfCq;Nicaragua
Norway Top 50 ; 37i9dQZEVXbJvfa0Yxg7E7;Norway
Panama Top 50 ; 37i9dQZEVXbKypXHVwk1f0;Panama
Paraguay Top 50 ; 37i9dQZEVXbNOUPGj7tW6T;Paraguay
Peru Top 50 ; 37i9dQZEVXbJfdy5b0KP7W;Peru
Philippines Top 50 ; 37i9dQZEVXbNBz9cRCSFkY;Philippines
Poland Top 50 ; 37i9dQZEVXbN6itCcaL3Tt;Poland
Portugal Top 50 ; 37i9dQZEVXbKyJS56d1pgi;Portugal
Romania Top 50 ; 37i9dQZEVXbNZbJ6TZelCq;Romania
Russia Top 50 ; 37i9dQZEVXbL8l7ra5vVdB;Russia
Singapore Top 50 ; 37i9dQZEVXbK4gjvS1FjPY;Singapore
Slovakia Top 50 ; 37i9dQZEVXbKIVTPX9a2Sb;Slovakia
South Africa Top 50 ; 37i9dQZEVXbMH2jvi6jvjk;South Africa
Spain Top 50 ; 37i9dQZEVXbNFJfN1Vw8d9;Spain
Sweden Top 50 ; 37i9dQZEVXbLoATJ81JYXz;Sweden
Switzerland Top 50 ; 37i9dQZEVXbJiyhoAPEfMK;Switzerland
Taiwan Top 50 ; 37i9dQZEVXbMnZEatlMSiu;Taiwan
Thailand Top 50 ; 37i9dQZEVXbMnz8KIWsvf9;Thailand
Turkey Top 50 ; 37i9dQZEVXbIVYVBNw9D5K;Turkey
United Kingdom Top 50 ; 37i9dQZEVXbLnolsZ8PSNw;United Kingdom
United States Top 50 ; 37i9dQZEVXbLRQDuF5jeBp;United States
Uruguay Top 50 ; 37i9dQZEVXbMJJi3wgRbAy;Uruguay
Vietnam Top 50 ; 37i9dQZEVXbLdGSmz6xilI;Vietnam
